id,summary,updaterName,updated,State,Priority,Sprint,Category,Assignee
CMLB-6557,Cluster Manager / Реализовать перезапуск rsync при ошибках и перезапуске сервиса / BE,oleg.rekin,1581947127814,Open,Normal,2020.3,New ClustersManager,oleg.rekin
CMLB-6559,Table / Отображение данных в таблице / FE,bogdan.kozatskiy,1581337016653,Open,Normal,2020.3,Technical debt,bogdan.kozatskiy
CMLB-6560,Table / Кастомные ячейки / FE,alena.kamneva,1581927317818,Open,Normal,2020.3,New feature,bogdan.kozatskiy
CMLB-6561,Bench / Обрезать часть Path при слишком длинном Path / FE,bogdan.kozatskiy,1581340573313,Open,Normal,2020.3,Fixes&Improvements,bogdan.kozatskiy
CMLB-6562,Solver / Обновить механизм автообновления с учетом перехода к jar / DevOps,leonid.laboshin,1581680768662,In Progress,Normal,2020.3,Production support,leonid.laboshin
CMLB-6564,Queue / Обновление данных шапки / FE,bogdan.kozatskiy,1581689165838,In Progress,Normal,2020.3,New feature,bogdan.kozatskiy
CMLB-6565,Queue / Обновление данных шапки / BE,pavel.epanechkin,1581879689146,In Progress,Normal,2020.3,New feature,pavel.epanechkin
CMLB-6566,"Queue / Изменить логику формирования полей задачи, описывающих солвер / BE",vladimir.panchenko,1581603888760,Fixed,Normal,2020.3,New feature,pavel.epanechkin
CMLB-6568,Value / Не удаляются лишние пробелы при загрузке key results / BE,nikita.knyazkin,1581708675579,In Progress,Normal,2020.3,Fixes&Improvements,nikita.knyazkin
CMLB-6569,Solver / Разработать ansible-скрипты для развертывания на Linux и Windows / DevOps,leonid.laboshin,1581680784694,In Progress,Normal,2020.3,Production support,leonid.laboshin
CMLB-6570,"Users / Добавить колонку ""Status""  / BE",bogdan.kozatskiy,1581432113677,Discussion,Normal,2020.3,Fixes&Improvements,alena.kamneva
CMLB-6571,Users / Добавить иконку блокировки в ячейку таблицы с именем пользователя / FE,kirill.krasov,1581665542595,Fixed,Normal,2020.3,Fixes&Improvements,bogdan.kozatskiy
CMLB-6575,FE / Refactoring / Angular  Сравнительный анализ функционала библиотек ag-grid и ignite-ui для реализации компонента таблицы.,alexey.tikhonov,1581677687333,Fixed,Major,2020.3,Technical debt,alexey.tikhonov
CMLB-6576,Production / Задачи зависли в состоянии Running / BE,vladimir.panchenko,1581687237431,Fixed,Major,2020.3,Production support,vladimir.panchenko
CMLB-6578,Обновить Apache Guacamole,anatoly.karpenko,1581644070689,Fixed,Normal,2020.3,New feature,anatoly.karpenko
CMLB-6580,Flag / Доработать спецификацию по функциональности / QA,ekaterina.tcvetkova,1581646508606,Open,Normal,2020.3,Project Documentation,
CMLB-6581,TVV / не импортируются key-results после постпроцессинга / BUG (BE),vladimir.panchenko,1581596063479,Fixed,Major,2020.3,Production support,skopin
CMLB-6582,Queue / Ознакомить с бизнес-логикой новой страницы очереди / QA,ekaterina.tcvetkova,1581646463746,Open,Major,2020.3,Organization,valerii.belopolskii
CMLB-6583,Queue / Изучить созданную спецификацию по новой странице очереди  / QA,kirill.krasov,1581940966360,In Progress,Normal,2020.3,New feature,kirill.krasov
CMLB-6584,Bench / Эксплуатационная документация. Создание руководства пользователя (РП) / BA,maria.gruzdeva,1581687105325,Open,Normal,2020.3,Project Documentation,maria.gruzdeva
CMLB-6585,Bench / Изучение ГОСТ-34 и РД 50-34.698-90 / BA,maria.gruzdeva,1581680990928,Open,Normal,2020.3,Organization,maria.gruzdeva
CMLB-6586,Bench / Изучение функционала системы / BA,maria.gruzdeva,1581928181568,Open,Normal,2020.3,Organization,maria.gruzdeva
CMLB-6587,Queue / Провести ad-hoc тестирование новой страницы очереди в рамках подготовки к демо / QA,valerii.belopolskii,1581930754066,Open,Major,2020.3,New feature,valerii.belopolskii
CMLB-6588,Bench / Создание схемы функций (в т.ч. задач) Системы / BA,maria.gruzdeva,1581589896053,Open,Normal,2020.3,Organization,maria.gruzdeva
CMLB-6589,Table / Привести все кнопки в таблицах к принятому виду и бизнес-логике / Specification,valerii.belopolskii,1581668374572,Open,Normal,2020.3,Fixes&Improvements,nikita.knyazkin
CMLB-6590,Статус Тасков / Обсудить возможность разделение статуса Failed на 2 -  в случае некорректного завершения расчета и возникновения ошибки не связанной с солвером,skopin,1581605435468,Open,Major,2020.3,,skopin
CMLB-6591,Bench / Задачи по 3 спринту,alena.kamneva,1581932215054,Open,Normal,2020.3,Organization,alena.kamneva
CMLB-6592,Bench / Изучение файлов от Димы Рыжова / BA,maria.gruzdeva,1581675547214,Fixed,Normal,2020.3,Project Documentation,maria.gruzdeva
CMLB-6593,Test / Добавить генерацию отчета по покрытию / DevOps,leonid.laboshin,1581938851501,Open,Normal,2020.3,Fixes&Improvements,leonid.laboshin
CMLB-6595,Queue / Лицензии / Изменения в дизайне плиток лицензий,alexey.tikhonov,1581678394064,Open,Normal,2020.3,New feature,sveta.pershay
CMLB-6596,Submodel / Некорректное поведение при добавлении субмоделей и комплекс субмоделей к симуляции / BE,kirill.krasov,1581684400900,Open,Major,2020.3,Fixes&Improvements,alena.kamneva
CMLB-6597,Queue / Resources / Сделать поле-фильтр Search для ввода названия тюнинга вместо кнопки Filters - Tunings / BE,alexey.tikhonov,1581689824608,Open,Normal,2020.3,New feature,sveta.pershay
CMLB-6598,Bench / Изучение спецификаций / BA,maria.gruzdeva,1581945958196,Open,Normal,2020.3,Organization,maria.gruzdeva
CMLB-6599,Cluster Manager / Распаковывать архивы после отправки файлов на узел / BE,oleg.rekin,1581947133709,Open,Normal,2020.3,New ClustersManager,oleg.rekin
